reach_id,strahler_ord,Z_u_m,Z_d_m,H_gross_m,A_u_km2,A_d_km2,length_m,slope_pct,mid_lon,mid_lat,is_ror,is_microhydro,hydro_method,Q_mean_m3s,Q40_m3s,Q65_m3s,Q80_m3s,Q90_m3s,Q_jan_m3s,Q_feb_m3s,Q_mar_m3s,Q_apr_m3s,Q_may_m3s,Q_jun_m3s,Q_jul_m3s,Q_aug_m3s,Q_sep_m3s,Q_oct_m3s,Q_nov_m3s,Q_dec_m3s,Q_env_m3s,Q_design_m3s,Q_net_m3s,eta,scale_type,H_net_m,P_inst_kW,annual_energy_MWh,dry_energy_MWh,wet_energy_MWh,E_jan_MWh,E_feb_MWh,E_mar_MWh,E_apr_MWh,E_may_MWh,E_jun_MWh,E_jul_MWh,E_aug_MWh,E_sep_MWh,E_oct_MWh,E_nov_MWh,E_dec_MWh,palika,is_border_river,apportion_factor,capacity_class,cultural_excluded,slope_viable,screened_viable
4228,1,1442.3,1237.0,205.2,1.31,1.71,575.2,35.68,83.163333,28.258056,0,1,WECS_NEA_MIP,0.0681,0.046,0.0236,0.0137,0.0099,0.015,0.0136,0.015,0.0204,0.0374,0.1192,0.2315,0.2485,0.143,0.0647,0.0286,0.0177,0.0014,0.0236,0.0222,0.65,Micro/Mini Hydro (<1 MW),184.7,26.15,206.64,84.56,122.07,11.92,9.66,11.92,16.11,20.68,20.01,20.68,20.68,20.01,20.68,20.01,14.28,Malika,0,1.0,Micro (5-100 kW),0,1,1
4229,1,1237.0,1182.7,54.3,1.71,8.13,286.6,18.96,83.166944,28.257778,0,1,WECS_NEA_MIP,0.3138,0.2152,0.1142,0.0681,0.0501,0.069,0.0628,0.069,0.0941,0.1726,0.5491,1.0669,1.1453,0.6589,0.2981,0.1318,0.0816,0.0063,0.1142,0.1079,0.65,Micro/Mini Hydro (<1 MW),48.9,33.64,261.0,104.6,156.39,14.55,11.84,14.55,19.71,26.49,25.64,26.49,26.49,25.64,26.49,25.64,17.47,Malika,0,1.0,Micro (5-100 kW),0,1,1
4240,1,1595.3,1427.4,167.9,0.54,0.84,597.8,28.09,83.454167,28.096389,0,1,WECS_NEA_MIP,0.0339,0.0227,0.0115,0.0066,0.0047,0.0075,0.0068,0.0075,0.0102,0.0187,0.0594,0.1153,0.1238,0.0712,0.0322,0.0142,0.0088,0.0007,0.0115,0.0108,0.65,Micro/Mini Hydro (<1 MW),151.1,10.41,83.0,34.34,48.66,4.87,3.95,4.87,6.59,8.24,7.98,8.24,8.24,7.98,8.24,7.98,5.81,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
4241,1,1427.4,1300.7,126.7,0.84,0.98,556.6,22.77,83.453333,28.101111,0,1,WECS_NEA_MIP,0.0395,0.0265,0.0135,0.0077,0.0055,0.0087,0.0079,0.0087,0.0118,0.0217,0.0691,0.1342,0.144,0.0829,0.0375,0.0166,0.0103,0.0008,0.0135,0.0127,0.65,Micro/Mini Hydro (<1 MW),114.0,9.23,73.31,30.21,43.1,4.27,3.47,4.27,5.76,7.3,7.07,7.3,7.3,7.07,7.3,7.07,5.14,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
4242,2,1300.7,1290.9,9.7,0.98,7.25,30.9,31.5,83.452778,28.103611,0,1,WECS_NEA_MIP,0.2805,0.1921,0.1017,0.0605,0.0445,0.0617,0.0561,0.0617,0.0841,0.1543,0.4908,0.9536,1.0237,0.589,0.2664,0.1178,0.0729,0.0056,0.1017,0.0961,0.65,Micro/Mini Hydro (<1 MW),8.7,5.33,41.4,16.62,24.78,2.32,1.88,2.32,3.14,4.2,4.06,4.2,4.2,4.06,4.2,4.06,2.78,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
4248,1,1594.0,1550.9,43.1,0.53,1.13,606.8,7.1,83.068611,28.139444,0,1,WECS_NEA_MIP,0.0454,0.0305,0.0156,0.0089,0.0064,0.01,0.0091,0.01,0.0136,0.025,0.0794,0.1543,0.1656,0.0953,0.0431,0.0191,0.0118,0.0009,0.0156,0.0147,0.65,Micro/Mini Hydro (<1 MW),38.8,3.64,28.8,11.85,16.95,1.68,1.36,1.68,2.26,2.87,2.78,2.87,2.87,2.78,2.87,2.78,2.01,Madane,0,1.0,Pico (<5 kW),0,1,0
4249,1,1550.9,1521.5,29.4,1.13,1.93,164.9,17.83,83.065833,28.137222,0,1,WECS_NEA_MIP,0.0767,0.0518,0.0267,0.0155,0.0112,0.0169,0.0153,0.0169,0.023,0.0422,0.1342,0.2607,0.2798,0.161,0.0728,0.0322,0.0199,0.0015,0.0267,0.0252,0.65,Micro/Mini Hydro (<1 MW),26.5,4.26,33.54,13.72,19.82,1.94,1.57,1.94,2.62,3.36,3.25,3.36,3.36,3.25,3.36,3.25,2.31,Madane,0,1.0,Pico (<5 kW),0,1,0
4267,1,1589.7,1470.3,119.4,0.63,0.86,564.9,21.14,83.366111,28.136944,0,1,WECS_NEA_MIP,0.0347,0.0233,0.0118,0.0067,0.0048,0.0076,0.0069,0.0076,0.0104,0.0191,0.0608,0.118,0.1267,0.0729,0.033,0.0146,0.009,0.0007,0.0118,0.0111,0.65,Micro/Mini Hydro (<1 MW),107.5,7.61,60.46,24.93,35.53,3.52,2.86,3.52,4.79,6.02,5.82,6.02,6.02,5.82,6.02,5.82,4.23,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
4268,1,1470.3,1348.1,122.2,0.86,4.63,368.4,33.18,83.362222,28.135833,0,1,WECS_NEA_MIP,0.1807,0.1232,0.0647,0.0381,0.0279,0.0398,0.0361,0.0398,0.0542,0.0994,0.3163,0.6145,0.6596,0.3795,0.1717,0.0759,0.047,0.0036,0.0647,0.0611,0.65,Micro/Mini Hydro (<1 MW),110.0,42.86,334.38,135.07,199.32,18.89,15.32,18.89,25.55,33.76,32.67,33.76,33.76,32.67,33.76,32.67,22.65,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
4273,1,1588.6,1450.8,137.7,0.51,1.9,483.1,28.51,83.101944,28.214444,0,1,WECS_NEA_MIP,0.0755,0.051,0.0263,0.0152,0.011,0.0166,0.0151,0.0166,0.0226,0.0415,0.1321,0.2567,0.2756,0.1585,0.0717,0.0317,0.0196,0.0015,0.0263,0.0248,0.65,Micro/Mini Hydro (<1 MW),123.9,19.59,154.33,63.07,91.26,8.88,7.22,8.88,12.0,15.46,14.96,15.46,15.46,14.96,15.46,14.96,10.64,Madane,0,1.0,Micro (5-100 kW),0,1,1
